,id,text,created_at
18,1496150281423368202,"@Sunset___17 https://t.co/5AGvMUGMg8 Tolong🙏bantu share&amp;Ret Agar TDK ada lagi korban:
PD saat Mengisi Data,Agenct @AXAIndonesia Menawarkan Tabungan jangka panjang:
Setelah 6thn saya bayar Premi,uang saya HILANG 70% Tolong saya PK @jokowi @KPK_RI @ojkindonesia @ListyoSigitP @PKSejahtera",2022-02-22T15:49:58.000Z
19,1496150274268106759,"RT @Sangkuriang5551: JOKOWI PUNYA ANDIL BESAR DALAM KEBANGKITAN NEO PKI DENGAN MEMBERI JABATAN2 VITAL BAGI PENDUKUNG PKI.

Misal Iman Broto…",2022-02-22T15:49:57.000Z
20,1496150273219526658,"@Catatan_ali7 @jokowi Dia orientasinya dunia terus. Makanya segala ibadah dia kaitkan dg imbalan dunia.
Aku srg mikir apa org2 itu terintimidasi shg nyumbang dg ucapan2 dia. Krn didepan umum.",2022-02-22T15:49:56.000Z
21,1496150265787187201,"RT @RamliRizal: Soeharto pilih mentri2 profesional sesuaikan. Gus Dur pilih mentri, klo tidak berprestasi  tidak ragu2 ganti. Jokowi pilih…",2022-02-22T15:49:55.000Z
22,1496150261970386946,@YusufNusantara1 @kangenband123 @knpiharis @jokowi @ListyoSigitP Kata dunia 😂😂😂,2022-02-22T15:49:54.000Z
23,1496150233788694531,RT @CNNIndonesia: Menaker usai Dipanggil Jokowi soal JHT: Aturan Akan Direvisi https://t.co/jqLGHSKv0w,2022-02-22T15:49:47.000Z
24,1496150230995283971,"@VIVAcoid https://t.co/5AGvMUGMg8 Tolong🙏bantu share&amp;Ret Agar TDK ada lagi korban:
PD saat Mengisi Data,Agenct @AXAIndonesia Menawarkan Tabungan jangka panjang:
Setelah 6thn saya bayar Premi,uang saya HILANG 70% Tolong saya PK @jokowi @KPK_RI @ojkindonesia @ListyoSigitP @PKSejahtera",2022-02-22T15:49:46.000Z
25,1496150227786801156,"RT @UyokBack: Jokowi minta aturan JHT direvisi.
Itu Jokower yg sudah berbusa2 belain JHT sampai bikin hestek segala, apa gak berasa dijejel…",2022-02-22T15:49:46.000Z
26,1496150217703714816,"RT @And_Hongg: Suara anak-anak Kuasi Paroki Lowobangga, Welamosa, 
Kec. WEWARIA
KAB. ENDE - PROV. NTT.

YTH Pak Presiden @jokowi mohon aten…",2022-02-22T15:49:43.000Z
27,1496150204793638913,"RT @OposisiCerdas: 5 Fakta Brigjen Junior Tumilaar Ditahan: Kirim Surat Terbuka untuk Jokowi usai Bela Babinsa hingga Ditahan
https://t.co/…",2022-02-22T15:49:40.000Z
28,1496150202847277059,RT @KawanBaikKomodo: Presiden @Jokowi dikritik karena proyek alihfungsi  400 hektar hutan di puncak kota Labuan Bajo Flores untuk dijadikan…,2022-02-22T15:49:40.000Z
29,1496150197868834818,"RT @knpiharis: Mereka di bayar untuk melakukan penganiayaan yang mengakibatkan diri saya hampir saja kehilangan nyawa, tolong pak @jokowi d…",2022-02-22T15:49:38.000Z
30,1496150193628196869,"@Sunset___17 https://t.co/5AGvMUGMg8 Tolong🙏bantu share&amp;Ret Agar TDK ada lagi korban:
PD saat Mengisi Data,Agenct @AXAIndonesia Menawarkan Tabungan jangka panjang:
Setelah 6thn saya bayar Premi,uang saya HILANG 70% Tolong saya PK @jokowi @KPK_RI @ojkindonesia @ListyoSigitP @PKSejahtera",2022-02-22T15:49:37.000Z
31,1496150126142042112,"@prio_atmo @safiisusanti @jokowi Dari pada otakmu bisanya cuma mbacot gitu doang,, kalo otak kurang vitamin gak usah ikutan koment !!",2022-02-22T15:49:21.000Z
